hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	维克萨钦油布	wéikèsàqīn(yóubù)	NONE	NONE	виксатин		NONE
NONE	维洛西特	wéiluòxītè	NONE	NONE	велосит		NONE
NONE	维霜绸	wéishuāng(chóu)	NONE	NONE	виссон		NONE
NONE	维斯考金油	wéisīkǎojīn(yóu)	NONE	NONE	вискозин		NONE
NONE	维特铁	wēitè(tiě)	NONE	NONE	вит-железо		NONE
NONE	温塔	wēntǎ	NONE	NONE	вента		NONE
NONE	翁查木船	wēnchá(mùchuán)	NONE	NONE	унжак		NONE
NONE	沃里塔布	wòlǐtǎ(bù)	NONE	NONE	вольта		NONE
NONE	沃里托李	wòlǐtuōlǐ	NONE	NONE	вольтоли		NONE
NONE	乌达勃诺 古猿	wūdábónuò(gǔyuán)	NONE	NONE	удабнопитек		NONE
NONE	乌发尔舞	wūfā'ěr(wǔ)	NONE	NONE	уфар		NONE
NONE	乌芦斯	wūlúsī	NONE	NONE	улус		NONE
NONE	乌罗丹	wūluódān	NONE	NONE	уродан		NONE
NONE	乌维万涅茨舞	wūféiwànniècí(wǔ)	NONE	NONE	увиванец		NONE
NONE	乌治舞	wūzhì(wǔ)	NONE	NONE	удж		NONE
NONE	乌兹了	wūzīliáo	NONE	NONE	узляу		NONE
NONE	乌宗达拉舞	wūzōngdálā(wǔ)	NONE	NONE	удундара		NONE
NONE	西比尔卡	xībǐ'ěrkǎ	NONE	NONE	сибирка		NONE
NONE	西尔赫洛姆铁	xī'ěrhèluòmǔ(tiě)	NONE	NONE	сильхром		NONE
NONE	西伏	xīfú	NONE	NONE	сиф		NONE
NONE	西古多克琴	xīgǔduōkè(qín)	NONE	NONE	сигудок		NONE
NONE	西拉尔铁	xīlā'ěr(tiě)	NONE	NONE	силал		NONE
NONE	西姆德舞	xīmǔdé(wǔ)	NONE	NONE	симд		NONE
NONE	希度拿	xīdùná	NONE	NONE	гедонал		NONE
NONE	矽罗克西康	xīluòkèxīkāng	NONE	NONE	силоксикон		NONE
NONE	习明纳尔	xímíngnà'ěr	NONE	NONE	семинар		NONE
NONE	席乐夫钻头	xílèfū(zuàntóu)	NONE	NONE	сверло Жирова		NONE
NONE	谢卡连	xièkǎlián	NONE	NONE	секалог		NONE
NONE	谢朴托弗拉文	xièpǔtuōfúlāwén	NONE	NONE	септофлавин		NONE
NONE	雅赫维	yǎhèwéi	NONE	NONE	яхве		NONE
NONE	雅克式战斗机	yǎkè(shìzhàndòujī)	NONE	NONE	Як (КБ Яковлев)		NONE
NONE	雅蕾克舞	yǎlěikè(wǔ)	NONE	NONE	яльке		NONE
NONE	雅蕾舞	yǎlěi(wǔ)	NONE	NONE	яллы		NONE
NONE	叶拉拿西	yèlānáxī	NONE	NONE	ералаш		NONE
NONE	伊查菲宁	yīcháfēiníng	NONE	NONE	изафонин		NONE
NONE	伊达尔戈	yīdá'ěrgē	NONE	NONE	идальго	исп	NONE
NONE	伊凡诺维基	yīfánnuòwéijī	NONE	NONE	Иванович		NONE
NONE	伊斯拉梅舞	yīsīlāméi(wǔ)	NONE	NONE	исламей		NONE
NONE	伊万古巴拉	yīwàngǔbālā	NONE	NONE	иван-купала		NONE
NONE	尤里耶夫节	yóulǐyéfū(jié)	NONE	NONE	Юрьев день		NONE
NONE	尤罗奇卡舞	yóuluóqíkǎ(wǔ)	NONE	NONE	юрочка		NONE
NONE	扎列卡管	zhálièkǎ(guǎn)	NONE	NONE	жалейка		NONE
NONE	卓克舞	zhuōkè(wǔ)	NONE	NONE	джок		NONE
