hanzi_trad	hanzi_simp	pinyin	transcr	transc_rus	rus_translation	note	chinese_translation
NONE	NONE	NONE	kól'ko səkókə	NONE	сколько		NONE
NONE	NONE	NONE	səlipój	NONE	слепой		NONE
NONE	NONE	NONE	səlówə sylaowu	NONE	слово		NONE
NONE	NONE	NONE	səlýshi	NONE	слыши		NONE
NONE	NONE	NONE	simitán	NONE	сметана		NONE
NONE	NONE	NONE	sənosí	NONE	сносить		NONE
NONE	NONE	NONE	sóbol' sóbala	NONE	соболь		NONE
NONE	NONE	NONE	sasémə	NONE	совсем		NONE
NONE	NONE	NONE	soledátka soledáza	NONE	солдат		NONE
NONE	NONE	NONE	sóntsa	NONE	солнце		NONE
NONE	NONE	NONE	sópəka suópəkə	NONE	сопка		NONE
NONE	NONE	NONE	sósi	NONE	садиться		NONE
NONE	NONE	NONE	sajúza	NONE	союз		NONE
NONE	NONE	NONE	sóe	NONE	соя		NONE
NONE	NONE	NONE	səpí	NONE	спи		NONE
NONE	NONE	NONE	səpíla	NONE	спила		NONE
NONE	NONE	NONE	səpíər	NONE	спирт		NONE
NONE	NONE	NONE	pərasíl	NONE	спросил		NONE
NONE	NONE	NONE	sərázu	NONE	сразу		NONE
NONE	NONE	NONE	sətáli	NONE	стали		NONE
NONE	NONE	NONE	sətalíka	NONE	старик		NONE
NONE	NONE	NONE	sətárə sətálə	NONE	старый		NONE
NONE	NONE	NONE	stóit	NONE	стоит		NONE
NONE	NONE	NONE	sutúƷa	NONE	стужа		NONE
NONE	NONE	NONE	sukóna	NONE	суконный		NONE
NONE	NONE	NONE	sýnə	NONE	сын		NONE
NONE	NONE	NONE	sýnka	NONE	сынка		NONE
NONE	NONE	NONE	sýte	NONE	спать		NONE
NONE	NONE	NONE	sudá	NONE	сюда		NONE
NONE	NONE	NONE	taduxá	NONE	Тадуха		NONE
NONE	NONE	NONE	tajgá	NONE	тайга		NONE
NONE	NONE	NONE	tákə	NONE	так		NONE
NONE	NONE	NONE	takíe	NONE	такие		NONE
NONE	NONE	NONE	takój	NONE	такой		NONE
NONE	NONE	NONE	tamə	NONE	там		NONE
NONE	NONE	NONE	taskáj	NONE	таскай		NONE
NONE	NONE	NONE	təwajá tvajá	NONE	твоя		NONE
NONE	NONE	NONE	tibé cibie tibi	NONE	тебе		NONE
NONE	NONE	NONE	tipér'	NONE	теперь		NONE
NONE	NONE	NONE	d'óplə	NONE	тёплый		NONE
NONE	NONE	NONE	duwál	NONE	товар		NONE
NONE	NONE	NONE	tóƷə	NONE	тоже		NONE
NONE	NONE	NONE	toleséta	NONE	толстый		NONE
NONE	NONE	NONE	tóka tóliko	NONE	только		NONE
NONE	NONE	NONE	trawá	NONE	трава		NONE
NONE	NONE	NONE	tərí	NONE	три		NONE
NONE	NONE	NONE	trítsa trítsati	NONE	тридцать		NONE
NONE	NONE	NONE	təríta	NONE	триста		NONE
NONE	NONE	NONE	tuda	NONE	туда		NONE
NONE	NONE	NONE	tə tútə túta	NONE	тут		NONE
NONE	NONE	NONE	tý	NONE	ты		NONE
NONE	NONE	NONE	týcha	NONE	тысяча		NONE
NONE	NONE	NONE	turəmá	NONE	тюрьма		NONE
NONE	NONE	NONE	uníx	NONE	у них		NONE
NONE	NONE	NONE	ubiƷála	NONE	убежала		NONE
NONE	NONE	NONE	ubiwáj	NONE	убивай		NONE
NONE	NONE	NONE	ubiváli	NONE	убивали		NONE
NONE	NONE	NONE	uídila	NONE	увидела		NONE
NONE	NONE	NONE	uwídi	NONE	увиди		NONE
NONE	NONE	NONE	uaƷílə	NONE	увозила		NONE
NONE	NONE	NONE	ujéxəl	NONE	уехал		NONE
NONE	NONE	NONE	uƷé ush	NONE	уже		NONE
NONE	NONE	NONE	uméj	NONE	умей		NONE
NONE	NONE	NONE	umésha	NONE	умеша		NONE
NONE	NONE	NONE	útrəm	NONE	утром		NONE
NONE	NONE	NONE	uxáƷiwaj	NONE	ухаживай		NONE
NONE	NONE	NONE	úxo	NONE	ухо		NONE
NONE	NONE	NONE	úchasa	NONE	учатся		NONE
NONE	NONE	NONE	ucheníkə	NONE	ученик		NONE
NONE	NONE	NONE	uchikán	NONE	заяц	ушкан???	NONE
NONE	NONE	NONE	fal'shíwajla	NONE	фальшивыйла		NONE
NONE	NONE	NONE	famíli	NONE	фамили		NONE
NONE	NONE	NONE	fánguli	NONE	падать/ломать	рус.этн.	NONE
NONE	NONE	NONE	xadýkə	NONE	хадыка		NONE
NONE	NONE	NONE	xaláƷa	NONE	халат		NONE
NONE	NONE	NONE	xarchidán	NONE	харчидан	столовая	NONE
NONE	NONE	NONE	xəwatáj	NONE	хватай		NONE
NONE	NONE	NONE	xəlébə liéba léba	NONE	хлеб		NONE
NONE	NONE	NONE	xadí xaƷí xodí xatí	NONE	ходи		NONE
NONE	NONE	NONE	xadíla	NONE	ходила		NONE
NONE	NONE	NONE	xódim	NONE	ходим		NONE
NONE	NONE	NONE	xódit	NONE	ходит		NONE
NONE	NONE	NONE	xaƷáinə	NONE	хозяин		NONE
NONE	NONE	NONE	xoleséta	NONE	холет		NONE
NONE	NONE	NONE	xaróshanəki	NONE	хорошеньки		NONE
NONE	NONE	NONE	xoróshə xulaoshi	NONE	хороший		NONE
NONE	NONE	NONE	xarashó	NONE	хорошо		NONE
NONE	NONE	NONE	xóchit	NONE	хочет		NONE
NONE	NONE	NONE	xóchu xaochu xýchi	NONE	хочу		NONE
NONE	NONE	NONE	xəraní	NONE	храни		NONE
NONE	NONE	NONE	xúdə	NONE	худой		NONE
NONE	NONE	NONE	xuerýka	NONE	хуерыка		NONE
NONE	NONE	NONE	xunxúƷə	NONE	хунхуз	разбойник	NONE
NONE	NONE	NONE	setý	NONE	цветы		NONE
NONE	NONE	NONE	céna chéna cajna	NONE	цена		NONE
NONE	NONE	NONE	chásə	NONE	час		NONE
NONE	NONE	NONE	cháchəka	NONE	чашка		NONE
NONE	NONE	NONE	chiwó	NONE	чего		NONE
NONE	NONE	NONE	ch'ótə	NONE	чего-то		NONE
NONE	NONE	NONE	chiwó-chiwó	NONE	чего-чего		NONE
NONE	NONE	NONE	chilavék	NONE	человек		NONE
NONE	NONE	NONE	chortəƷnáj	NONE	чёрт знает		NONE
NONE	NONE	NONE	chisətý	NONE	чистый		NONE
NONE	NONE	NONE	chitáj	NONE	читай		NONE
NONE	NONE	NONE	chó	NONE	что		NONE
NONE	NONE	NONE	chtóby	NONE	чтобы		NONE
NONE	NONE	NONE	chuƷój	NONE	чужой		NONE
NONE	NONE	NONE	chúshka	NONE	чушка		NONE
NONE	NONE	NONE	shalətáj-balətáj	NONE	шалтай-болтай		NONE
NONE	NONE	NONE	shej	NONE	шей		NONE
NONE	NONE	NONE	shes'	NONE	шесть		NONE
NONE	NONE	NONE	chijs'át	NONE	шестьдесят		NONE
NONE	NONE	NONE	shisóƷə	NONE	шестьсот		NONE
NONE	NONE	NONE	shóləka	NONE	шёлк		NONE
NONE	NONE	NONE	shípkə síbikə shýpka	NONE	шибко		NONE
NONE	NONE	NONE	shílə	NONE	шила		NONE
NONE	NONE	NONE	sətúka	NONE	штука		NONE
NONE	NONE	NONE	shúba	NONE	шуба		NONE
NONE	NONE	NONE	s'ót	NONE	шьёт		NONE
NONE	NONE	NONE	étə	NONE	эта		NONE
NONE	NONE	NONE	éta edika	NONE	это		NONE
NONE	NONE	NONE	éta iwó	NONE	это его		NONE
NONE	NONE	NONE	julít'	NONE	юлить	грести, гулять	NONE
NONE	NONE	NONE	ja	NONE	я		NONE
NONE	NONE	NONE	jájtsə	NONE	яйце		NONE
NONE	NONE	NONE	jámə	NONE	яма		NONE
NONE	NONE	NONE	ibéŋka	NONE	японка		NONE
NONE	NONE	NONE	jásəkə	NONE	ящик		NONE
